T=68805	 X=1617	 Y=20277	 Z=2230
T=68805	 X=1656	 Y=20376	 Z=2148
T=68805	 X=1686	 Y=20480	 Z=2061
T=68805	 X=1725	 Y=20214	 Z=1562
T=68805	 X=1549	 Y=20227	 Z=2123
T=68805	 X=1488	 Y=20355	 Z=2346
T=68805	 X=1492	 Y=20402	 Z=2386
T=68805	 X=1471	 Y=20446	 Z=2391
T=68805	 X=1466	 Y=20552	 Z=2445
T=68805	 X=1468	 Y=20629	 Z=2513
T=68805	 X=1473	 Y=20685	 Z=2555
T=68805	 X=1483	 Y=20749	 Z=2563
T=68806	 X=1502	 Y=20811	 Z=2560
T=68806	 X=1540	 Y=20929	 Z=2563
T=68806	 X=1577	 Y=21004	 Z=2534
T=68806	 X=1605	 Y=21092	 Z=2491
T=68806	 X=1625	 Y=21172	 Z=2456
